Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/MARKER/GET/CALCULATE/Y/4/ANY/ANY,true,?,:CALCulate:MARKer4:Y,NOT YET
COMMANDS/MARKER/GET/CALCULATE/Y/5/ANY/ANY,true,?,:CALCulate:MARKer5:Y,NOT YET
COMMANDS/MARKER/GET/CALCULATE/Y/6/ANY/ANY,true,?,:CALCulate:MARKer6:Y,NOT YET
COMMANDS/MARKER/NAB/ALL/X/NAB/ANY/ANY,true,6,:CALCulate:MARKer1:X?;:CALCulate:MARKer2:X?;:CALCulate:MARKer3:X?;:CALCulate:MARKer4:X?;:CALCulate:MARKer5:X?;:CALCulate:MARKer1:X?,NOT YET
COMMANDS/MARKER/NAB/ALL/Y/NAB/ANY/ANY,true,6,:CALCulate:MARKer1:Y?;:CALCulate:MARKer2:Y?;:CALCulate:MARKer3:Y?;:CALCulate:MARKer4:Y?;:CALCulate:MARKer5:Y?;:CALCulate:MARKer1:Y?,NOT YET
COMMANDS/MARKER/RIG/ALL/MARKERS/SET /ANY/ANY,true,:CALCulate:MARKer2:X 222,:CALCulate:MARKer1:STATe ON;:CALCulate:MARKer2:STATe ON;:CALCulate:MARKer3:STATe ON;:CALCulate:MARKer4:STATe ON;:CALCulate:MARKer5:STATe ON;:CALCulate:MARKer6:STATe ON;:CALCulate:MARKer1:X 111,NOT YET
COMMANDS/MARKER/SET/PLACE/X/1/ANY/ANY,true,111111,:CALCulate:MARKer1:X,NOT YET
COMMANDS/MARKER/SET/PLACE/X/2/ANY/ANY,true,222222,:CALCulate:MARKer2:X,NOT YET
COMMANDS/MARKER/SET/PLACE/X/3/ANY/ANY,true,333333,:CALCulate:MARKer3:X,NOT YET
COMMANDS/MARKER/SET/PLACE/X/4/ANY/ANY,true,444444,:CALCulate:MARKer4:X,NOT YET
COMMANDS/MARKER/SET/PLACE/X/5/ANY/ANY,true,555555,:CALCulate:MARKer5:X,NOT YET
COMMANDS/MARKER/SET/PLACE/X/6/ANY/ANY,true,666666,:CALCulate:MARKer6:X,NOT YET
COMMANDS/MEMORY/GET/CATALOG/PRESET/ASK/ANY/ANY,true,?,:MMEMory:CATalog:STATe,NOT YET
COMMANDS/MEMORY/SET/LOAD/PRESET/MEH/ANY/ANY,true,0,:MMEMory:LOAD:STATe,NOT YET
